"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Jacoby Ellsbury  CF","5","0","1","0","0","1","5",".299",".370",".377",".747","16","11","0.011","0.80","0.055","-0.044","-0.6","2","0",""
"Chris Young  LF","2","1","1","0","1","1","3",".257",".310",".473",".783","16","8","0.053","0.51","0.061","-0.008","0.7","0","0","2B"
"Brian McCann  PH","1","0","0","0","0","1","1",".252",".324",".457",".781","4","3","-0.082","2.88","0.000","-0.082","-0.3","","",""
"Didi Gregorius  SS","0","0","0","0","0","0","0",".244",".294",".328",".622","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Alex Rodriguez  DH","4","3","3","4","0","0","4",".277",".375",".539",".914","9","6","0.411","1.32","0.461","-0.050","2.9","","","3·HR,GDP"
"Mark Teixeira  1B","4","1","2","0","0","0","4",".263",".365",".557",".922","10","7","0.138","1.21","0.168","-0.030","0.7","16","0","2B"
"Carlos Beltran  RF","4","1","0","0","0","0","4",".256",".307",".419",".726","13","8","-0.150","1.70","0.000","-0.150","-0.9","1","0",""
"Chase Headley  3B","3","1","1","1","0","0","4",".260",".312",".377",".689","10","7","0.162","1.42","0.184","-0.022","0.6","0","5","SF"
"John Ryan Murphy  C","4","1","1","3","0","0","4",".271",".304",".376",".681","13","8","0.227","1.80","0.279","-0.052","1.6","6","0","HR"
"Brendan Ryan  SS","2","0","0","0","0","1","2",".263",".333",".421",".754","12","7","-0.033","0.66","0.000","-0.033","-0.4","1","7",""
"Brett Gardner  PH-LF","2","0","0","0","0","0","2",".293",".370",".461",".831","10","5","-0.058","1.13","0.000","-0.058","-0.4","0","0",""
"Stephen Drew  2B","4","0","1","0","0","1","4",".186",".259",".369",".628","12","7","-0.058","0.61","0.002","-0.060","-0.3","1","3",""
"","","","","","","","","","","","","","","","","","","","","",""
"CC Sabathia  P","","","","","","","","","","","","","","","","","","","0","1",""
"Adam Warren  P","","","","","","","","","","","","","","","","","","","0","0",""
"Andrew Miller  P","","","","","","","","","","","","","","","","","","","0","0",""
