"Rk","Gm#","Date","","Tm"," ","Opp","W/L","R","RA","Inn","W-L","Rank","GB","Win","Loss","Save","Time","D/N","Attendance","Streak"
"1","1","Monday, Apr 6","boxscore","OAK","","TEX","W","8","0","","1-0","1","Tied","Gray","Gallardo","","2:45","N","36,067","+"
"2","2","Tuesday, Apr 7","boxscore","OAK","","TEX","L","1","3","","1-1","2","0.5","Lewis","Hahn","Feliz","2:30","N","15,025","-"
"3","3","Wednesday, Apr 8","boxscore","OAK","","TEX","W","10","0","","2-1","1","Tied","Kazmir","Detwiler","","2:55","N","19,479","+"
"4","4","Thursday, Apr 9","boxscore","OAK","","TEX","L","1","10","","2-2","2","0.5","Martinez","Graveman","","2:32","D","16,045","-"
"5","5","Friday, Apr 10","boxscore","OAK","","SEA","W","12","0","","3-2","1","up 0.5","Pomeranz","Walker","","2:44","N","30,114","+"
"6","6","Saturday, Apr 11","boxscore","OAK","","SEA","L","4","5","11","3-3","1","Tied","Olson","Abad","Rodney","3:39","D","24,355","-"
"7","7","Sunday, Apr 12","boxscore","OAK","","SEA","L","7","8","10","3-4","3","0.5","Rodney","Clippard","Medina","3:11","D","32,282","--"
"8","8","Monday, Apr 13","boxscore","OAK","@","HOU","W","8","1","","4-4","1","up 0.5","Kazmir","Feldman","","2:51","N","19,279","+"
"9","9","Tuesday, Apr 14","boxscore","OAK","@","HOU","W","4","0","","5-4","1","up 1.0","Graveman","Peacock","","2:58","N","18,935","++"
"10","10","Wednesday, Apr 15","boxscore","OAK","@","HOU","L","1","6","","5-5","1","up 0.5","McHugh","Pomeranz","","2:42","N","19,777","-"
"11","11","Friday, Apr 17","boxscore","OAK","@","KCR","L","4","6","","5-6","2","0.5","Davis","Otero","Holland","2:33","N","39,228","--"
"12","12","Saturday, Apr 18","boxscore","OAK","@","KCR","W","5","0","","6-6","1","up 0.5","Hahn","Ventura","Chavez","2:34","N","33,151","+"
