"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Sam Fuld  CF","4","2","1","0","1","1","5",".357",".419",".571",".991","25","16","0.024","0.34","0.047","-0.023","0.3","3","0","GDP"
"Mark Canha  LF","5","1","2","1","0","1","5",".367",".367",".567",".933","17","12","0.150","0.46","0.162","-0.011","1.1","1","0","2B"
"Ben Zobrist  2B","5","2","3","1","0","1","5",".303",".343",".545",".888","25","16","0.053","0.39","0.067","-0.014","0.6","2","4","2B"
"Billy Butler  DH","4","1","1","3","0","0","4",".387",".441",".548",".990","11","9","0.047","0.52","0.064","-0.016","1.8","","","HR"
"Ike Davis  1B","3","0","1","1","1","0","4",".318",".444",".455",".899","19","11","0.030","0.41","0.045","-0.015","0.3","8","0",""
"Stephen Vogt  C","4","0","1","0","0","0","4",".348",".423",".609","1.032","12","8","-0.043","0.30","0.000","-0.043","-1.0","10","1","2·GDP"
"Brett Lawrie  3B","4","1","1","1","0","1","4",".281",".324",".438",".761","12","9","0.057","0.21","0.064","-0.008","0.3","2","2","HR"
"Josh Reddick  RF","4","0","0","0","0","0","4",".222",".222",".333",".556","19","11","-0.015","0.15","0.000","-0.015","-0.7","0","1",""
"Marcus Semien  SS","4","1","2","1","0","0","4",".323",".364",".484",".848","16","11","0.069","0.19","0.069","-0.001","0.9","1","0","HR"
"","","","","","","","","","","","","","","","","","","","","",""
"Scott Kazmir  P","","","","","","","","","","","","","","","","","","","0","1",""
"Fernando Abad  P","","","","","","","","","","","","","","","","","","","0","0",""
"Dan Otero  P","","","","","","","","","","","","","","","","","","","0","1",""
"Jesse Chavez  P","","","","","","","","","","","","","","","","","","","0","0",""
