"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Billy Burns  CF","4","1","1","0","1","0","5",".304",".340",".393",".733","22","14","-0.022","1.50","0.109","-0.131","-0.2","0","0",""
"Ike Davis  1B","2","1","0","0","1","0","3",".249",".323",".382",".705","10","5","-0.041","1.11","0.049","-0.090","-0.5","4","1","GDP"
"Josh Phegley  PH-C","2","1","1","0","0","0","2",".271",".318",".493",".811","4","4","0.088","1.92","0.109","-0.021","0.5","3","0",""
"Josh Reddick  RF","5","1","3","0","0","0","5",".292",".344",".472",".816","15","11","0.306","1.46","0.318","-0.012","2.2","1","0","2B,2·SB"
"Stephen Vogt  C-1B","4","0","0","0","1","2","5",".271",".353",".459",".812","18","12","-0.293","1.91","0.012","-0.305","-2.1","6","0","GDP"
"Brett Lawrie  3B","5","3","4","4","0","0","5",".280",".314",".412",".726","19","12","0.415","1.94","0.463","-0.048","3.5","1","1","HR,2·2B,SB"
"Eric Sogard  2B","5","0","1","2","0","2","5",".244",".283",".278",".561","27","19","-0.025","1.28","0.108","-0.133","0.1","5","2",""
"Marcus Semien  SS","5","0","1","0","0","0","5",".249",".294",".376",".669","16","12","0.001","0.86","0.065","-0.064","-0.2","1","1",""
"Sam Fuld  LF","3","0","2","1","1","1","4",".210",".289",".318",".607","17","8","0.091","1.07","0.115","-0.025","0.9","2","1",""
"Jesse Chavez  P","1","0","0","0","0","1","2",".000",".000",".000",".000","6","4","-0.057","1.65","0.000","-0.057","-0.5","1","0","SH"
"Jake Smolinski  PH","1","0","0","0","0","1","1",".188",".301",".329",".630","5","4","-0.016","0.66","0.000","-0.016","-0.1","","",""
"Fernando Abad  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","1",""
"Billy Butler  PH","1","0","0","0","0","0","1",".246",".312",".378",".690","1","1","-0.017","0.64","0.000","-0.017","-0.5","","",""
"Fernando Rodriguez  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Drew Pomeranz  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Dan Otero  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Eric O'Flaherty  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
