"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Billy Burns  CF","4","1","2","2","0","0","4",".299",".338",".399",".737","10","8","0.223","1.17","0.256","-0.033","1.8","1","0","HR,2B"
"Mark Canha  1B","4","0","0","0","0","0","4",".252",".308",".419",".727","13","9","-0.073","0.90","0.000","-0.073","-0.9","9","1",""
"Josh Reddick  RF","4","0","1","1","0","1","4",".273",".333",".457",".790","14","11","0.014","0.88","0.098","-0.084","0.1","2","0",""
"Danny Valencia  3B","4","1","1","0","0","1","4",".290",".340",".517",".857","18","12","0.007","0.78","0.066","-0.058","-0.1","0","1","2B"
"Stephen Vogt  C","4","0","0","0","0","0","4",".263",".341",".453",".794","16","9","-0.073","0.90","0.000","-0.073","-0.9","9","1",""
"Billy Butler  DH","3","1","1","1","1","1","4",".250",".321",".389",".710","16","7","0.116","0.76","0.140","-0.024","0.9","","","HR"
"Eric Sogard  2B","4","0","2","1","0","0","4",".251",".297",".304",".600","14","10","0.028","0.78","0.037","-0.009","0.3","2","4","3B"
"Marcus Semien  SS","3","0","0","0","1","1","4",".256",".308",".395",".703","17","10","-0.036","0.75","0.010","-0.046","-0.4","3","4",""
"Sam Fuld  LF","3","2","2","0","0","0","3",".203",".280",".304",".584","7","6","0.026","1.17","0.072","-0.047","0.3","1","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Sonny Gray  P","","","","","","","","","","","","","","","","","","","0","1",""
"Ryan Dull  P","","","","","","","","","","","","","","","","","","","0","0",""
"Sean Doolittle  P","","","","","","","","","","","","","","","","","","","0","0",""
