"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Brandon Guyer  RF","3","1","1","1","2","0","5",".250",".353",".382",".735","23","11","0.113","1.36","0.159","-0.046","0.9","1","0","HR"
"Joey Butler  DH","4","0","0","0","0","1","4",".279",".336",".411",".747","16","11","-0.221","2.11","0.000","-0.221","-1.5","","",""
"John Jaso  PH","1","0","1","0","0","0","1",".350",".420",".517",".937","2","2","0.025","0.69","0.025","0.000","0.3","","","2B"
"Evan Longoria  3B","4","1","1","0","1","1","5",".271",".343",".419",".762","19","12","0.072","1.25","0.151","-0.079","0.1","0","1","2B"
"Logan Forsythe  2B","5","0","0","0","0","1","5",".278",".363",".436",".799","18","12","-0.195","1.29","0.000","-0.195","-1.4","2","1",""
"Asdrubal Cabrera  SS","4","2","2","1","0","1","4",".234",".285",".378",".663","24","15","0.214","1.27","0.256","-0.042","0.8","1","2","2B"
"James Loney  1B","4","0","2","2","0","0","4",".263",".313",".345",".658","14","10","0.256","1.48","0.318","-0.061","1.5","7","0","2B"
"Mikie Mahtook  LF","4","0","0","0","0","0","4",".179",".258",".429",".687","12","7","-0.113","1.08","0.000","-0.113","-0.9","2","0",""
"Kevin Kiermaier  CF","4","0","1","0","0","2","4",".246",".279",".407",".686","20","12","-0.033","1.00","0.051","-0.085","-0.5","3","0","3B"
"Rene Rivera  C","2","0","1","0","0","1","2",".176",".210",".287",".497","12","6","0.007","0.82","0.029","-0.023","0.1","5","1",""
"Curt Casali  PH-C","1","0","0","0","0","1","2",".246",".299",".639",".938","7","4","0.007","1.65","0.024","-0.017","-0.1","6","0","HBP"
"","","","","","","","","","","","","","","","","","","","","",""
"Jake Odorizzi  P","","","","","","","","","","","","","","","","","","","0","1",""
"Xavier Cedeno  P","","","","","","","","","","","","","","","","","","","0","0",""
"Steve Geltz  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jake McGee  P","","","","","","","","","","","","","","","","","","","0","0",""
"Brad Boxberger  P","","","","","","","","","","","","","","","","","","","0","0",""
