"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Rougned Odor  2B","4","1","1","0","1","0","5",".228",".321",".353",".673","20","11","0.045","0.91","0.097","-0.052","0.3","0","6",""
"Shin-Soo Choo  RF","4","1","1","1","1","1","5",".232",".315",".395",".710","22","14","0.147","1.01","0.201","-0.054","1.2","4","0","HR"
"Prince Fielder  DH","4","0","1","1","1","1","5",".347",".415",".529",".944","25","14","0.039","0.91","0.104","-0.065","0.5","","","GDP"
"Adrian Beltre  3B","4","1","1","0","0","0","4",".255",".286",".389",".675","18","13","-0.090","1.15","0.034","-0.124","-1.4","1","2","2·GDP"
"Josh Hamilton  LF","4","1","2","0","0","1","4",".308",".400",".615","1.015","14","11","0.001","1.02","0.064","-0.063","-0.1","2","0",""
"Mitch Moreland  1B","3","2","2","4","1","0","4",".305",".353",".563",".917","12","6","0.378","1.25","0.405","-0.027","3.9","10","0","2·HR"
"Elvis Andrus  SS","4","0","1","0","0","0","4",".247",".302",".330",".632","11","7","-0.045","0.87","0.030","-0.075","-0.6","1","2",""
"Leonys Martin  CF","4","0","1","0","0","1","4",".223",".263",".328",".591","15","10","-0.105","1.01","0.007","-0.113","-0.8","3","0","2B,GDP"
"Robinson Chirinos  C","4","2","2","1","0","0","4",".213",".311",".439",".750","12","7","0.114","1.14","0.181","-0.066","0.6","6","0","HR"
"","","","","","","","","","","","","","","","","","","","","",""
"Colby Lewis  P","","","","","","","","","","","","","","","","","","","0","0",""
"Keone Kela  P","","","","","","","","","","","","","","","","","","","0","0",""
"Tanner Scheppers  P","","","","","","","","","","","","","","","","","","","0","1",""
"Shawn Tolleson  P","","","","","","","","","","","","","","","","","","","0","0",""
