"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Shin-Soo Choo  RF","4","0","0","0","0","1","4",".233",".318",".451",".769","14","9","-0.068","0.67","0.000","-0.068","-0.8","3","0",""
"Delino DeShields  LF","3","0","1","0","1","0","4",".271",".386",".390",".776","16","9","0.065","0.91","0.106","-0.041","0.6","3","0","2B,SB"
"Prince Fielder  DH","3","0","1","0","1","0","4",".348",".406",".500",".906","17","8","0.012","0.77","0.041","-0.029","0.2","","",""
"Adam Rosales  PR","0","0","0","0","0","0","0",".156",".208",".289",".497","","","0.000","0.00","0.000","0.000","0.0","","","SB"
"Adrian Beltre  3B","4","1","2","0","0","2","4",".264",".297",".423",".720","12","9","-0.047","1.12","0.065","-0.112","-0.3","2","2",""
"Mitch Moreland  1B","4","0","1","0","0","2","4",".288",".365",".452",".817","16","13","-0.053","1.40","0.092","-0.146","-0.7","7","0","GDP"
"Elvis Andrus  SS","3","0","1","1","0","1","4",".229",".295",".287",".582","16","10","-0.057","0.92","0.010","-0.067","-0.7","1","1","SF"
"Leonys Martin  CF","4","0","1","0","0","0","4",".206",".246",".302",".548","9","7","0.004","0.76","0.085","-0.080","-0.3","4","0","2B"
"Robinson Chirinos  C","4","1","1","1","0","2","4",".190",".300",".440",".740","17","11","0.002","0.90","0.100","-0.098","0.1","5","1","HR"
"Thomas Field  2B","3","0","0","0","0","2","3",".222",".300",".444",".744","16","9","-0.077","0.96","0.000","-0.077","-0.8","2","3",""
"","","","","","","","","","","","","","","","","","","","","",""
"Phil Klein  P","","","","","","","","","","","","","","","","","","","0","0",""
"Alex Claudio  P","","","","","","","","","","","","","","","","","","","0","0",""
"Tanner Scheppers  P","","","","","","","","","","","","","","","","","","","0","0",""
"Ross Ohlendorf  P","","","","","","","","","","","","","","","","","","","0","0",""
"Shawn Tolleson  P","","","","","","","","","","","","","","","","","","","0","0",""
