"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Shin-Soo Choo  RF","4","0","0","0","0","2","4",".234",".321",".389",".711","18","12","-0.162","1.35","0.000","-0.162","-1.2","2","0","GDP"
"Elvis Andrus  SS","3","0","0","0","1","0","4",".236",".295",".313",".608","22","11","-0.058","0.98","0.024","-0.083","-0.3","4","3",""
"Prince Fielder  DH","4","0","0","0","0","3","4",".338",".401",".517",".918","17","12","-0.137","1.40","0.000","-0.137","-0.8","","",""
"Mitch Moreland  1B","4","0","1","0","0","2","4",".303",".358",".514",".872","13","9","-0.060","0.96","0.021","-0.080","-0.3","8","1",""
"Ryan Rua  LF","4","1","1","0","0","0","4",".200",".231",".240",".471","12","9","-0.037","1.22","0.058","-0.095","0.1","2","0",""
"Adam Rosales  3B","0","1","0","0","2","0","2",".235",".323",".353",".676","13","5","0.072","1.01","0.072","0.000","0.6","1","1",""
"Joey Gallo  PH-3B","1","0","0","0","0","1","1",".220",".313",".492",".805","6","3","-0.043","1.73","0.000","-0.043","-0.2","0","0",""
"Leonys Martin  CF","2","0","0","0","0","1","3",".234",".276",".336",".613","11","8","-0.097","1.61","0.000","-0.097","-0.7","3","0","SH,GDP"
"Carlos Corporan  C","3","0","2","1","0","1","3",".185",".252",".283",".535","9","7","0.101","1.22","0.121","-0.020","1.1","2","0",""
"Rougned Odor  2B","3","0","0","1","0","1","3",".173",".271",".250",".521","13","8","-0.081","1.86","0.014","-0.095","-0.4","2","4","SB"
"","","","","","","","","","","","","","","","","","","","","",""
"Nick Martinez  P","","","","","","","","","","","","","","","","","","","0","2",""
"Ross Detwiler  P","","","","","","","","","","","","","","","","","","","0","1",""
