"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Delino DeShields  CF","5","1","1","0","0","0","5",".263",".343",".378",".720","13","11","-0.102","0.93","0.003","-0.105","-0.6","4","0",""
"Shin-Soo Choo  RF","4","2","2","2","1","2","5",".275",".376",".459",".835","26","16","0.081","0.80","0.117","-0.036","1.8","3","0","HR"
"Prince Fielder  DH","5","1","3","2","0","1","5",".307",".378",".466",".844","14","13","-0.045","1.02","0.048","-0.093","1.3","","",""
"Ryan Strausborger  PR","0","0","0","0","0","0","0",".200",".240",".267",".507","","","0.000","0.00","0.000","0.000","0.0","","",""
"Adrian Beltre  3B","3","1","0","0","1","0","5",".280",".327",".437",".764","19","10","0.007","0.77","0.057","-0.050","-0.1","0","3","HBP"
"Drew Stubbs  PR","0","0","0","0","0","0","0",".200",".284",".392",".675","","","0.000","0.00","0.000","0.000","0.0","","",""
"Mitch Moreland  1B","5","1","1","2","0","1","5",".283",".335",".497",".831","18","12","0.047","1.43","0.186","-0.139","0.8","7","1","2B"
"Rougned Odor  2B","4","0","1","1","0","1","4",".269",".326",".470",".796","12","9","0.015","0.65","0.075","-0.060","0.3","5","4","CS"
"Elvis Andrus  SS","4","0","1","0","0","1","4",".259",".309",".359",".668","21","14","-0.022","0.49","0.015","-0.037","-0.4","2","4",""
"Josh Hamilton  LF","4","0","1","0","0","3","4",".253",".294",".420",".714","18","12","-0.025","0.82","0.032","-0.057","-0.3","1","0",""
"Bobby Wilson  C","2","0","0","0","0","2","2",".189",".255",".250",".505","8","7","-0.068","1.25","0.000","-0.068","-0.6","1","0",""
"Joey Gallo  PH","1","0","1","0","0","0","1",".206",".303",".421",".724","2","1","0.049","1.24","0.049","0.000","0.3","","",""
"Chris Gimenez  C","0","0","0","0","0","0","0",".271",".347",".541",".889","","","0.000","0.00","0.000","0.000","0.0","1","0",""
"Will Venable  PH","1","1","1","0","0","0","1",".247",".324",".355",".678","6","3","0.001","0.03","0.001","0.000","0.2","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"Derek Holland  P","","","","","","","","","","","","","","","","","","","0","2",""
"Chi Chi Gonzalez  P","","","","","","","","","","","","","","","","","","","0","1",""
"Sam Freeman  P","","","","","","","","","","","","","","","","","","","0","0",""
"Luke Jackson  P","","","","","","","","","","","","","","","","","","","0","0",""
