"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Delino DeShields  LF","4","0","0","0","0","2","5",".280",".370",".390",".760","22","15","-0.081","0.57","0.000","-0.081","-1.6","1","0","SH"
"Shin-Soo Choo  RF","5","1","2","2","0","2","5",".246",".336",".436",".772","25","15","0.108","0.51","0.126","-0.018","1.1","0","0","2B"
"Prince Fielder  DH","3","1","2","0","2","0","5",".356",".412",".545",".957","24","11","0.030","0.52","0.054","-0.024","0.4","","","2·IW"
"Jake Smolinski  PR","0","0","0","0","0","0","0",".140",".282",".211",".492","","","0.000","0.00","0.000","0.000","0.0","","",""
"Mitch Moreland  1B","4","0","2","1","1","1","5",".301",".367",".504",".870","23","14","0.043","0.68","0.101","-0.058","0.1","12","0","GDP"
"Joey Gallo  3B","5","0","1","0","0","2","5",".286",".348",".619",".967","21","12","0.026","0.73","0.059","-0.034","-0.6","2","2","SB"
"Elvis Andrus  SS","2","0","0","1","1","0","4",".237",".305",".318",".623","12","6","0.002","0.76","0.015","-0.013","-0.3","1","3","SF"
"Leonys Martin  CF","4","0","0","0","0","0","4",".237",".277",".341",".618","15","8","-0.061","0.59","0.000","-0.061","-1.1","4","0",""
"Carlos Corporan  C","3","1","1","0","0","2","4",".190",".267",".304",".570","21","12","0.012","0.36","0.031","-0.019","0.1","5","0","HBP"
"Hanser Alberto  2B","4","1","3","0","0","0","4",".344",".344",".438",".781","7","6","0.080","0.46","0.088","-0.009","1.5","2","7","2B"
"","","","","","","","","","","","","","","","","","","","","",""
"Wandy Rodriguez  P","","","","","","","","","","","","","","","","","","","0","1",""
"Tanner Scheppers  P","","","","","","","","","","","","","","","","","","","0","0",""
"Sam Freeman  P","","","","","","","","","","","","","","","","","","","0","1",""
"Shawn Tolleson  P","","","","","","","","","","","","","","","","","","","0","0",""
