"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Delino DeShields  CF","3","0","0","0","0","1","4",".254",".342",".372",".714","16","11","-0.061","0.56","0.000","-0.061","-1.2","3","0","SH"
"Shin-Soo Choo  RF","4","1","2","1","0","1","4",".255",".352",".433",".785","12","9","0.004","0.58","0.039","-0.035","0.1","6","0",""
"Prince Fielder  DH","4","0","1","0","0","2","4",".307",".378",".458",".836","12","10","-0.027","0.48","0.012","-0.039","-0.5","","",""
"Adrian Beltre  3B","3","1","1","0","1","0","4",".262",".305",".404",".709","16","7","0.030","0.46","0.037","-0.007","0.6","0","2","IW"
"Mitch Moreland  1B","4","1","1","2","0","1","4",".289",".338",".490",".828","15","11","0.148","0.74","0.181","-0.032","0.9","6","0","2B"
"Rougned Odor  2B","4","0","1","1","0","0","4",".270",".325",".467",".792","17","10","0.045","0.51","0.075","-0.031","0.1","3","2","2B"
"Elvis Andrus  SS","4","0","0","0","0","0","4",".254",".302",".346",".648","10","9","-0.036","0.34","0.000","-0.036","-0.9","0","2",""
"Joey Gallo  LF","2","0","0","0","1","1","3",".204",".299",".427",".726","11","7","0.010","0.45","0.026","-0.016","0.2","3","0",""
"Will Venable  LF","1","0","0","0","0","0","1",".252",".329",".363",".692","7","4","-0.001","0.02","0.000","-0.001","-0.1","2","0",""
"Chris Gimenez  C","3","1","2","0","0","0","3",".263",".333",".596",".930","8","6","0.023","0.37","0.031","-0.009","0.9","4","0","2B"
"","","","","","","","","","","","","","","","","","","","","",""
"Colby Lewis  P","","","","","","","","","","","","","","","","","","","0","0",""
