"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Ben Revere  LF","7","1","2","1","0","0","7",".303",".341",".374",".715","17","11","0.057","0.50","0.097","-0.040","-0.7","0","0","2B,SB,GDP"
"Josh Donaldson  3B","4","1","2","1","2","0","6",".300",".375",".577",".952","22","11","0.020","0.40","0.036","-0.015","1.3","0","3","2B"
"Jose Bautista  RF","4","1","1","2","2","1","6",".252",".376",".542",".918","29","13","0.026","0.49","0.059","-0.033","1.4","2","0","HR"
"Edwin Encarnacion  DH","4","3","2","2","2","0","6",".275",".371",".549",".920","24","13","0.027","0.46","0.056","-0.029","1.5","","","HR"
"Justin Smoak  1B","6","1","1","2","0","1","6",".229",".298",".476",".774","19","11","-0.077","0.53","0.000","-0.077","0.4","12","0","HR"
"Russell Martin  C","5","2","1","1","1","1","6",".237",".327",".452",".778","25","14","0.123","0.36","0.147","-0.024","0.9","10","0","2B"
"Ryan Goins  SS","5","3","5","1","1","0","6",".253",".324",".355",".679","26","17","0.081","0.32","0.081","0.000","1.8","1","2","2B"
"Kevin Pillar  CF","5","1","3","0","1","1","6",".275",".312",".397",".709","29","18","-0.038","0.38","0.006","-0.044","1.5","0","0",""
"Darwin Barney  2B","5","2","1","1","1","1","6",".222",".263",".278",".541","19","11","0.072","0.33","0.092","-0.020","2.5","2","4",""
"","","","","","","","","","","","","","","","","","","","","",""
"Marcus Stroman  P","","","","","","","","","","","","","","","","","","","0","3",""
"LaTroy Hawkins  P","","","","","","","","","","","","","","","","","","","0","0",""
