"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Jose Reyes  SS","4","1","1","0","0","0","4",".272",".302",".383",".685","22","16","-0.023","0.97","0.061","-0.084","-0.2","0","4","SB,GDP"
"Josh Donaldson  3B","3","1","1","1","1","0","4",".300",".358",".544",".902","14","6","0.124","0.91","0.154","-0.030","1.1","1","5","HR"
"Jose Bautista  RF","4","0","0","1","0","0","4",".239",".388",".504",".891","23","14","-0.060","0.93","0.022","-0.082","-0.9","0","0","GDP"
"Edwin Encarnacion  DH","4","0","2","0","0","0","4",".241",".329",".460",".790","16","10","-0.016","0.57","0.024","-0.040","-0.2","","",""
"Russell Martin  C","3","0","0","0","0","2","3",".250",".338",".464",".802","12","8","-0.065","0.89","0.000","-0.065","-0.6","7","1",""
"Chris Colabello  1B","3","0","1","0","0","1","3",".335",".373",".515",".888","6","6","-0.024","0.62","0.013","-0.037","-0.2","8","0",""
"Justin Smoak  1B","0","0","0","0","0","0","0",".256",".343",".521",".864","","","0.000","0.00","0.000","0.000","0.0","3","0",""
"Danny Valencia  LF","3","0","0","0","0","2","3",".298",".328",".516",".844","16","10","-0.057","0.73","0.000","-0.057","-0.5","2","0",""
"Ezequiel Carrera  LF","0","0","0","0","0","0","0",".284",".342",".358",".699","","","0.000","0.00","0.000","0.000","0.0","1","0",""
"Kevin Pillar  CF","3","0","0","0","0","1","3",".278",".306",".404",".710","8","6","-0.062","0.84","0.000","-0.062","-0.6","0","0",""
"Devon Travis  2B","3","0","0","0","0","2","3",".287",".339",".485",".824","12","8","-0.005","0.60","0.023","-0.028","0.0","5","3",""
"","","","","","","","","","","","","","","","","","","","","",""
"Felix Doubront  P","","","","","","","","","","","","","","","","","","","0","0",""
"Bo Schultz  P","","","","","","","","","","","","","","","","","","","0","0",""
"Aaron Loup  P","","","","","","","","","","","","","","","","","","","0","0",""
"Roberto Osuna  P","","","","","","","","","","","","","","","","","","","0","1",""
