"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Troy Tulowitzki  SS","5","1","1","0","0","2","5",".286",".343",".457",".800","20","13","-0.036","1.14","0.060","-0.097","-0.8","1","4",""
"Josh Donaldson  3B","4","3","3","4","1","0","5",".296",".365",".575",".940","25","15","0.541","1.22","0.541","0.000","4.2","1","0","2·HR"
"Jose Bautista  RF","5","0","0","0","0","1","5",".239",".355",".512",".867","17","12","-0.114","0.91","0.000","-0.114","-1.4","1","0",""
"Edwin Encarnacion  1B","4","2","1","1","1","1","5",".255",".351",".485",".835","20","10","0.087","0.63","0.125","-0.039","0.8","8","0","HR"
"Aaron Sanchez  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Roberto Osuna  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","1",""
"Russell Martin  C","4","0","0","0","1","0","5",".244",".327",".438",".765","16","8","-0.019","0.78","0.034","-0.053","-0.3","7","1",""
"Ezequiel Carrera  LF","4","0","1","2","0","3","4",".278",".325",".371",".696","18","11","0.150","1.25","0.193","-0.043","1.1","1","0",""
"LaTroy Hawkins  P","0","0","0","0","0","0","0",".000",".000",".000",".000","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Justin Smoak  1B","1","0","0","0","0","0","1",".221",".290",".436",".726","2","1","-0.003","0.11","0.000","-0.003","-0.2","1","0",""
"Ben Revere  CF-LF","3","1","0","0","2","1","5",".286",".324",".355",".678","21","11","0.019","0.61","0.067","-0.048","0.0","2","0",""
"Ryan Goins  2B","1","0","1","0","1","0","2",".225",".295",".329",".624","7","2","0.056","0.63","0.056","0.000","0.6","2","2","2B"
"Cliff Pennington  PH-2B","3","0","1","0","0","1","3",".232",".311",".275",".585","12","7","-0.038","0.87","0.002","-0.039","-0.3","0","0",""
"R.A. Dickey  P","1","0","0","0","0","0","2",".000",".000",".000",".000","2","2","-0.045","1.27","0.000","-0.045","-0.5","0","2","SH"
"Liam Hendriks  P","0","0","0","0","0","0","0","","1.000","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Chris Colabello  PH","1","1","1","1","0","0","1",".326",".369",".510",".878","2","1","0.104","1.72","0.104","0.000","0.8","","",""
"Brett Cecil  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Kevin Pillar  PH-CF","1","0","0","0","0","0","2",".259",".297",".365",".662","4","3","-0.001","0.30","0.002","-0.003","-0.1","3","0","HBP"
