"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Jose Reyes  SS","5","0","1","0","0","2","5",".265",".275",".337",".611","17","12","-0.042","0.80","0.037","-0.079","-0.6","1","0",""
"Josh Donaldson  3B","4","1","2","0","1","1","5",".314",".374",".595",".970","21","15","0.129","0.81","0.155","-0.026","1.2","0","0",""
"Jose Bautista  RF","4","1","1","0","1","1","5",".242",".378",".471",".849","17","10","-0.047","0.90","0.027","-0.074","0.1","2","0",""
"Russell Martin  C","5","1","0","0","0","1","5",".267",".353",".473",".825","21","15","-0.052","0.95","0.068","-0.120","-0.5","9","0","SB"
"Chris Colabello  1B","5","0","1","1","0","1","5",".356",".402",".538",".940","18","11","-0.008","1.22","0.086","-0.094","-0.4","5","1","SB,GDP"
"Ezequiel Carrera  LF","0","0","0","0","0","0","0",".308",".361",".369",".730","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Danny Valencia  LF-1B","3","1","1","1","0","1","4",".320",".325",".467",".791","14","11","0.000","0.97","0.045","-0.046","-0.3","5","0","2B,SF"
"Munenori Kawasaki  2B","2","0","0","0","0","0","2",".143",".250",".143",".393","5","4","-0.032","0.66","0.000","-0.032","-0.3","1","2",""
"Justin Smoak  PH","0","0","0","0","1","0","1",".250",".346",".412",".758","7","3","0.018","1.41","0.018","0.000","0.1","","",""
"Ryan Goins  PR-2B","1","1","0","0","0","0","1",".240",".282",".331",".613","4","3","-0.008","0.27","0.000","-0.008","-0.3","0","3",""
"Kevin Pillar  CF","4","2","3","4","0","1","4",".234",".273",".360",".633","15","10","0.541","0.81","0.544","-0.003","3.6","4","0","2·HR"
"Marco Estrada  P","3","0","1","0","0","1","3",".333",".333",".333",".667","10","7","-0.024","0.56","0.011","-0.035","-0.2","0","0",""
"Liam Hendriks  P","0","0","0","0","1","0","1","","1.000","","","6","2","0.003","0.10","0.003","0.000","0.3","0","0",""
"Brett Cecil  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
