event_location,event_date,method,method_code,ref,f1id,f1name,f1nick,birth_date,f1height,f1weight,f1association,f1class,f1locality,f1country,f2fid,f2name,f2nick,birth_date,f2height,f2weight,f2association,f2class,f2locality,f2country
"T-Mobile Arena, Las Vegas, Nevada, United States",7/9/2016,Unknown,Unknown,Unknown,52311,Daniel Cormier,DC,3/20/1979,71,205,American Kickboxing Academy,Light Heavyweight,"San Jose, California",United States,27944,Jon Jones,Bones,7/19/1987,76,205,Jackson-Wink MMA,Light Heavyweight,"Rochester, New York",United States
"T-Mobile Arena, Las Vegas, Nevada, United States",7/9/2016,Unknown,Unknown,Unknown,26252,Miesha Tate,Cupcake,8/18/1986,66,135,Xtreme Couture,Bantamweight,"Tacoma, Washington",United States,31496,Amanda Nunes,Lioness,5/30/1988,65,136,American Top Team,Bantamweight,"Salvador, Bahia",Brazil
"T-Mobile Arena, Las Vegas, Nevada, United States",7/9/2016,Unknown,Unknown,Unknown,11506,Jose Aldo,Scarface,9/9/1986,67,145,Nova Uniao,Featherweight,"Manaus, Amazonas",Brazil,14204,Frankie Edgar,The Answer,10/16/1981,66,145,Ricardo Almeida Jiu-Jitsu,Featherweight,"Toms River, New Jersey",United States
"T-Mobile Arena, Las Vegas, Nevada, United States",7/9/2016,Unknown,Unknown,Unknown,17522,Brock Lesnar,The Beast,7/12/1977,75,264,Team Death Clutch,Heavyweight,"Webster, South Dakota",United States,10668,Mark Hunt,The Super Samoan,3/23/1974,70,262,American Top Team,Heavyweight,"South Auckland, Auckland",New Zealand
"T-Mobile Arena, Las Vegas, Nevada, United States",7/9/2016,Unknown,Unknown,Unknown,19102,Cain Velasquez,None,7/28/1982,73,241,American Kickboxing Academy,Heavyweight,"Salinas, California",United States,16785,Travis Browne,Hapa,7/17/1982,79,236,Glendale Fighting Club,Heavyweight,"Oahu, Hawaii",United States
"T-Mobile Arena, Las Vegas, Nevada, United States",7/9/2016,Unknown,Unknown,Unknown,7466,Gegard Mousasi,The Dreamcatcher,8/1/1985,73,186,Red Devil International,Middleweight,"Leiden, South Holland",Netherlands,90021,Thiago Santos,Marreta,1/7/1984,72,183,Tata Fight Team,Middleweight,"Rio de Janeiro, Rio de Janeiro",Brazil
"T-Mobile Arena, Las Vegas, Nevada, United States",7/9/2016,Unknown,Unknown,Unknown,24539,Johny Hendricks,Bigg Rigg,9/12/1983,69,170,Team Takedown,Welterweight,"Ada, Oklahoma",United States,74700,Kelvin Gastelum,None,10/24/1991,69,170,Yuma United Mixed Martial Arts,Welterweight,"Yuma, Arizona",United States
"T-Mobile Arena, Las Vegas, Nevada, United States",7/9/2016,Unknown,Unknown,Unknown,62507,T.J. Dillashaw,None,2/7/1986,66,135,Elevation Fight Team,Bantamweight,"Angels Camp, California",United States,9574,Raphael Assuncao,None,7/19/1982,65,135,Ascension MMA,Bantamweight,"Recife, Pernambuco",Brazil
"T-Mobile Arena, Las Vegas, Nevada, United States",7/9/2016,Unknown,Unknown,Unknown,4923,Joe Lauzon,J-Lau,5/22/1984,69,155,Lauzon MMA,Lightweight,"Bridgewater, Massachusetts",United States,4824,Diego Sanchez,The Dream,12/31/1981,70,155,Jackson-Wink MMA,Lightweight,"Albuquerque, New Mexico",United States
"T-Mobile Arena, Las Vegas, Nevada, United States",7/9/2016,Unknown,Unknown,Unknown,425,Takanori Gomi,The Fireball Kid,9/22/1978,68,155,Kugayama Rascal,Lightweight,"Tokyo, Kato",Japan,14463,Jim Miller,None,8/30/1983,68,155,Miller Brothers MMA,Lightweight,"Sparta, New Jersey",United States
"T-Mobile Arena, Las Vegas, Nevada, United States",7/9/2016,Unknown,Unknown,Unknown,33932,Cat Zingano,Alpha,7/1/1982,66,135,Zingano Brazilian Jiu-Jitsu,Bantamweight,"Broomfield, Colorado",United States,50883,Julianna Pena,The Venezuelan Vixen,8/19/1989,67,134,SikJitsu,Bantamweight,"Spokane, Washington",United States
"T-Mobile Arena, Las Vegas, Nevada, United States",7/9/2016,Unknown,Unknown,Unknown,130911,Sage Northcutt,Super,3/1/1996,72,156,Gracie Barra Katy,Lightweight,"Katy, Texas",United States,27077,Enrique Marin,Wasabi,9/12/1986,70,170,Crazy Seville,Welterweight,"Seville, Andalusia",Spain
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
